Year,Month,Day,G12
2011,10,23,0.21,
2011,10,24,0.08,
2011,10,25,0.01,
2011,10,26,0,
2011,10,27,0.12,
2011,10,28,0,
2011,10,29,0,
2011,10,30,0.08,
2011,10,31,0,
2011,11,1,0,
2011,11,2,0,
2011,11,3,0.28,
2011,11,4,0,
2011,11,5,0,
2011,11,6,0,
2011,11,7,0.22,
2011,11,8,1.3,
2011,11,9,0.3,
2011,11,10,0.03,
2011,11,11,0,
2011,11,12,0,
2011,11,13,0,
2011,11,14,0.01,
2011,11,15,0,
2011,11,16,0,
2011,11,17,0,
2011,11,18,0,
2011,11,19,0,
2011,11,20,0,
2011,11,21,0,
2011,11,22,0.4,
2011,11,23,0,
2011,11,24,0,
2011,11,25,0,
2011,11,26,0.86,
2011,11,27,0.1,
2011,11,28,0,
2011,11,29,0,
2011,11,30,0,
2011,12,1,0,
2011,12,2,0.01,
2011,12,3,0.11,
2011,12,4,0.06,
2011,12,5,0.01,
2011,12,6,0,
2011,12,7,0,
2011,12,8,0,
2011,12,9,0,
2011,12,10,0,
2011,12,11,0,
2011,12,12,0,
2011,12,13,0.08,
2011,12,14,1.12,
2011,12,15,0.02,
2011,12,16,0,
2011,12,17,0.02,
2011,12,18,0,
2011,12,19,0,
2011,12,20,0.01,
2011,12,21,0,
2011,12,22,0.06,
2011,12,23,0.02,
2011,12,24,0,
2011,12,25,0,
2011,12,26,0.03,
2011,12,27,0.2,
2011,12,28,0,
2011,12,29,0,
2011,12,30,0.37,
2011,12,31,0,
2012,1,1,0.04,
2012,1,2,0.03,
2012,1,3,0,
2012,1,4,0,
2012,1,5,0,
2012,1,6,0,
2012,1,7,0,
2012,1,8,0,
2012,1,9,0,
2012,1,10,0,
2012,1,11,0,
2012,1,12,0.39,
2012,1,13,0.03,
2012,1,14,0,
2012,1,15,0,
2012,1,16,0.06,
2012,1,17,0.13,
2012,1,18,0,
2012,1,19,0.02,
2012,1,20,0.45,
2012,1,21,0.01,
2012,1,22,0.47,
2012,1,23,0.26,
2012,1,24,0,
2012,1,25,0,
2012,1,26,0,
2012,1,27,0.04,
2012,1,28,0.09,
2012,1,29,0,
2012,1,30,0,
2012,1,31,0,
2012,2,1,0,
2012,2,2,0,
2012,2,3,0,
2012,2,4,0.03,
2012,2,5,0,
2012,2,6,0,
2012,2,7,0,
2012,2,8,0,
2012,2,9,0,
2012,2,10,0.09,
2012,2,11,0,
2012,2,12,0,
2012,2,13,0.02,
2012,2,14,0.02,
2012,2,15,0.13,
2012,2,16,0.11,
2012,2,17,0,
2012,2,18,0,
2012,2,19,0,
2012,2,20,0,
2012,2,21,0.08,
2012,2,22,0.01,
2012,2,23,0.1,
2012,2,24,0.31,
2012,2,25,0,
2012,2,26,0,
2012,2,27,0,
2012,2,28,0.08,
2012,2,29,0.28,
2012,3,1,0,
2012,3,2,0.18,
2012,3,3,0,
2012,3,4,0,
2012,3,5,0,
2012,3,6,0,
2012,3,7,0,
2012,3,8,0.21,
2012,3,9,0,
2012,3,10,0,
2012,3,11,0.01,
2012,3,12,0.27,
2012,3,13,0,
2012,3,14,0.01,
2012,3,15,0,
2012,3,16,0.02,
2012,3,17,0,
2012,3,18,0,
2012,3,19,0.02,
2012,3,20,0,
2012,3,21,0,
2012,3,22,0.07,
2012,3,23,1.1,
2012,3,24,0,
2012,3,25,0,
2012,3,26,0,
2012,3,27,0,
2012,3,28,0,
2012,3,29,0,
2012,3,30,0.1,
2012,3,31,0,
2012,4,1,0.07,
2012,4,2,0,
2012,4,3,0,
2012,4,4,0,
2012,4,5,0,
2012,4,6,0,
2012,4,7,0,
2012,4,8,0,
2012,4,9,0,
2012,4,10,0,
2012,4,11,0,
2012,4,12,0,
2012,4,13,0,
2012,4,14,0.66,
2012,4,15,0.85,
2012,4,16,0.05,
2012,4,17,0,
2012,4,18,0.05,
2012,4,19,0,
2012,4,20,0,
2012,4,21,0,
2012,4,22,0,
2012,4,23,0,
2012,4,24,0,
2012,4,25,0.04,
2012,4,26,0,
2012,4,27,0,
2012,4,28,0.18,
2012,4,29,0.09,
2012,4,30,0.51,
2012,5,1,0.38,
2012,5,2,0,
2012,5,3,0.26,
2012,5,4,0.33,
2012,5,5,0,
2012,5,6,0.39,
2012,5,7,0.69,
2012,5,8,0,
2012,5,9,0,
2012,5,10,0,
2012,5,11,0,
2012,5,12,0.1,
2012,5,13,0,
2012,5,14,0,
2012,5,15,0,
2012,5,16,0,
2012,5,17,0,
2012,5,18,0,
2012,5,19,0,
2012,5,20,0.12,
2012,5,21,0,
2012,5,22,0,
2012,5,23,0,
2012,5,24,0,
2012,5,25,0,
2012,5,26,0,
2012,5,27,0,
2012,5,28,0,
2012,5,29,0,
2012,5,30,0,
2012,5,31,0.97,
2012,6,1,0.03,
2012,6,2,0,
2012,6,3,0,
2012,6,4,0,
2012,6,5,0,
2012,6,6,0,
2012,6,7,0,
2012,6,8,0,
