STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/05/11,0.16,0.7,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/06/11,0,0,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/07/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/08/11,0.01,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/09/11,0.39,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/10/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/11/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/12/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/13/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/14/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/15/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/16/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/17/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/18/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/19/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/20/11,0.32,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/21/11,0.02,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/22/11,0.3,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/23/11,0.3,0.3,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/24/11,0.01,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/25/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/26/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/27/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/28/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/29/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/30/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/31/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/01/11,0.18,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/02/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/03/11,0.13,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/04/11,0.11,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/05/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/06/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/07/11,0.25,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/08/11,0.51,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/09/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/10/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/11/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/12/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/13/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/14/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/15/11,0.34,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/16/11,0.2,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/17/11,0.08,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/18/11,0.49,0.6,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/19/11,0.95,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/20/11,0.01,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/21/11,0.03,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/22/11,0.56,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/23/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/24/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/25/11,0.34,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/26/11,0.38,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/27/11,0.31,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/28/11,0.03,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/29/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/30/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/01/11,0,0,0
