Id,Id2,Target Geo Id,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US17031,17031,0700000US170318353154820,Oak Lawn village,56690,23517,8.59,0,8.59,6596.1,2736.3
0500000US17031,17031,0700000US170318353157381,Palos Heights city (part),6617,2549,1.93,0.04,1.89,3502.6,1349.3
0500000US17031,17031,0700000US170318353164616,Robbins village (part),1295,425,0.35,0,0.35,3731.3,1224.6
0500000US17031,17031,0700000US170318353183518,Worth village (part),7966,3251,1.67,0.01,1.66,4812.1,1963.9
0500000US17031,17031,0700000US170318353199999,Remainder of Worth township,3515,1414,3.72,0.15,3.57,985.5,396.5
0500000US17031,17031,1590000US1703101010,Alsip village,19277,7927,6.49,0.1,6.39,3016.9,1240.6
0500000US17031,17031,1590000US1703102154,Arlington Heights village (part),75101,32795,16.62,0.03,16.59,4527,1976.8
0500000US17031,17031,1590000US1703103844,Barrington village (part),5631,2315,2.65,0.12,2.54,2220.7,913
0500000US17031,17031,1590000US1703103883,Barrington Hills village (part),2168,852,17.9,0.53,17.37,124.8,49.1
0500000US17031,17031,1590000US1703104013,Bartlett village (part),16797,6454,5.37,0.05,5.32,3157.8,1213.3
0500000US17031,17031,1590000US1703104572,Bedford Park village,580,220,6.03,0.11,5.93,97.8,37.1
0500000US17031,17031,1590000US1703104975,Bellwood village,19071,6627,2.4,0,2.4,7953.1,2763.6
0500000US17031,17031,1590000US1703105248,Bensenville village (part),0,0,0.17,0,0.17,0,0
0500000US17031,17031,1590000US1703105404,Berkeley village,5209,1919,1.4,0,1.4,3719.9,1370.4
0500000US17031,17031,1590000US1703105573,Berwyn city,56657,20719,3.91,0,3.91,14508.8,5305.8
0500000US17031,17031,1590000US1703106704,Blue Island city,23706,8854,4.16,0.09,4.07,5822.9,2174.8
0500000US17031,17031,1590000US1703108225,Bridgeview village,16446,5889,4.15,0,4.15,3960.5,1418.2
0500000US17031,17031,1590000US1703108446,Broadview village,7932,3322,1.78,0,1.78,4462.5,1868.9
0500000US17031,17031,1590000US1703108576,Brookfield village,18978,7785,3.07,0.01,3.06,6195.7,2541.6
0500000US17031,17031,1590000US1703109447,Buffalo Grove village (part),13644,6139,2.13,0,2.13,6403,2881
0500000US17031,17031,1590000US1703109642,Burbank city,28925,9721,4.17,0,4.17,6932.4,2329.8
0500000US17031,17031,1590000US1703109798,Burnham village,4206,1544,1.95,0.09,1.87,2253.2,827.1
0500000US17031,17031,1590000US1703109980,Burr Ridge village (part),3840,1700,2.62,0.01,2.61,1473.4,652.3
0500000US17031,17031,1590000US1703110487,Calumet City city,37042,15646,7.31,0.12,7.19,5155.2,2177.5
0500000US17031,17031,1590000US1703110513,Calumet Park village,7835,3203,1.15,0.04,1.11,7043.4,2879.4
0500000US17031,17031,1590000US1703114000,Chicago city (part),2695598,1194337,231.84,6.45,225.39,11959.7,5299
0500000US17031,17031,1590000US1703114026,Chicago Heights city,30276,11060,10.09,0.01,10.07,3005.1,1097.8
0500000US17031,17031,1590000US1703114065,Chicago Ridge village,14305,5919,2.25,0,2.25,6345.8,2625.7
0500000US17031,17031,1590000US1703114351,Cicero town,83891,24329,5.86,0,5.86,14304.8,4148.5
0500000US17031,17031,1590000US1703116691,Country Club Hills city,16541,6102,4.84,0.02,4.82,3432.9,1266.4
0500000US17031,17031,1590000US1703116873,Countryside city,5895,2763,2.88,0,2.88,2048,959.9
0500000US17031,17031,1590000US1703117497,Crestwood village,10950,5141,3.07,0.03,3.05,3594.9,1687.8
0500000US17031,17031,1590000US1703117523,Crete village (part),0,0,0.01,0,0.01,0,0
0500000US17031,17031,1590000US1703118992,Deerfield village (part),172,132,0.53,0.02,0.51,338.9,260.1
0500000US17031,17031,1590000US1703119083,Deer Park village (part),17,9,0.01,0,0.01,1220.6,646.2
0500000US17031,17031,1590000US1703119642,Des Plaines city,58364,24075,14.42,0.13,14.28,4086.2,1685.5
0500000US17031,17031,1590000US1703120149,Dixmoor village,3644,1302,1.25,0,1.25,2918.7,1042.9
0500000US17031,17031,1590000US1703120292,Dolton village,23153,8720,4.69,0.12,4.56,5072,1910.2
0500000US17031,17031,1590000US1703121696,East Dundee village (part),0,0,0.15,0,0.15,0,0
0500000US17031,17031,1590000US1703121904,East Hazel Crest village,1543,633,0.78,0,0.78,1967.4,807.1
0500000US17031,17031,1590000US1703123074,Elgin city (part),24032,8301,6.38,0.18,6.2,3873,1337.8
0500000US17031,17031,1590000US1703123256,Elk Grove Village village (part),33127,13905,10.7,0.06,10.63,3115.5,1307.7
0500000US17031,17031,1590000US1703123620,Elmhurst city (part),0,0,0.03,0,0.03,0,0
0500000US17031,17031,1590000US1703123724,Elmwood Park village,24883,10090,1.91,0,1.91,13045.7,5290
0500000US17031,17031,1590000US1703124582,Evanston city,74486,33181,7.8,0.02,7.78,9575,4265.4
0500000US17031,17031,1590000US1703124634,Evergreen Park village,19852,7559,3.16,0,3.16,6279.8,2391.2
0500000US17031,17031,1590000US1703126571,Flossmoor village,9464,3677,3.66,0,3.66,2587.5,1005.3
0500000US17031,17031,1590000US1703126710,Ford Heights village,2763,859,1.95,0,1.95,1419.5,441.3
0500000US17031,17031,1590000US1703126935,Forest Park village,14167,7834,2.4,0,2.4,5898.7,3261.8
0500000US17031,17031,1590000US1703126987,Forest View village,698,287,1.2,0.13,1.07,654.3,269
0500000US17031,17031,1590000US1703127624,Frankfort village (part),0,0,0.23,0,0.23,0,0
0500000US17031,17031,1590000US1703127702,Franklin Park village,18333,6569,4.77,0,4.77,3845.9,1378.1
0500000US17031,17031,1590000US1703129652,Glencoe village,8723,3209,3.78,0.06,3.72,2345.3,862.8
0500000US17031,17031,1590000US1703129938,Glenview village,44692,17746,13.99,0.04,13.95,3204.2,1272.3
0500000US17031,17031,1590000US1703130029,Glenwood village,8969,3505,3.12,0,3.12,2872.2,1122.4
0500000US17031,17031,1590000US1703130328,Golf village,500,162,0.45,0,0.45,1115.1,361.3
0500000US17031,17031,1590000US1703132746,Hanover Park village (part),20636,5842,2.67,0,2.67,7719.3,2185.3
0500000US17031,17031,1590000US1703133383,Harvey city,25282,9805,6.3,0,6.3,4011.1,1555.6
0500000US17031,17031,1590000US1703133435,Harwood Heights village,8612,3731,0.82,0,0.82,10441.1,4523.4
0500000US17031,17031,1590000US1703133695,Hazel Crest village,14100,5431,3.41,0.02,3.39,4159.8,1602.3
0500000US17031,17031,1590000US1703134514,Hickory Hills city,14049,5487,2.83,0,2.83,4968.8,1940.6
0500000US17031,17031,1590000US1703135086,Hillside village,8157,3138,3.18,0,3.18,2562.8,985.9
0500000US17031,17031,1590000US1703135307,Hinsdale village (part),2227,735,0.95,0,0.95,2337.5,771.5
0500000US17031,17031,1590000US1703135385,Hodgkins village,1897,781,2.64,0.05,2.58,734.3,302.3
0500000US17031,17031,1590000US1703135411,Hoffman Estates village (part),51895,18970,20.9,0.18,20.72,2504.8,915.6
0500000US17031,17031,1590000US1703135866,Hometown city,4349,1935,0.48,0,0.48,9081.3,4040.5
0500000US17031,17031,1590000US1703135879,Homewood village,19323,7970,5.26,0.05,5.21,3708.5,1529.6
0500000US17031,17031,1590000US1703137257,Indian Head Park village,3809,1928,0.94,0.01,0.93,4090.5,2070.5
0500000US17031,17031,1590000US1703137608,Inverness village,7399,2849,6.7,0.16,6.54,1131.6,435.7
0500000US17031,17031,1590000US1703138830,Justice village,12926,5176,2.88,0.04,2.84,4553.3,1823.3
0500000US17031,17031,1590000US1703139519,Kenilworth village,2513,855,0.61,0,0.61,4129.9,1405.1
0500000US17031,17031,1590000US1703140767,La Grange village,15550,5944,2.52,0,2.52,6163.2,2355.9
0500000US17031,17031,1590000US1703140793,La Grange Park village,13579,5830,2.23,0,2.23,6084.6,2612.4
0500000US17031,17031,1590000US1703142028,Lansing village,28331,11741,6.84,0.06,6.79,4174.4,1730
0500000US17031,17031,1590000US1703142795,Lemont village (part),15987,6098,7.39,0.16,7.23,2211.8,843.7
0500000US17031,17031,1590000US1703143744,Lincolnwood village,12590,4640,2.69,0,2.69,4677.7,1724
0500000US17031,17031,1590000US1703145421,Lynwood village,9007,3473,5.54,0.08,5.47,1648.1,635.5
0500000US17031,17031,1590000US1703145434,Lyons village,10729,4376,2.24,0.06,2.18,4910.7,2002.9
0500000US17031,17031,1590000US1703145564,McCook village,228,115,2.64,0.02,2.61,87.2,44
0500000US17031,17031,1590000US1703147007,Markham city,12508,4384,5.31,0,5.31,2356.4,825.9
0500000US17031,17031,1590000US1703147540,Matteson village (part),19009,7086,9.33,0.03,9.29,2045.5,762.5
0500000US17031,17031,1590000US1703147774,Maywood village,24090,8393,2.72,0,2.72,8853.9,3084.7
0500000US17031,17031,1590000US1703148242,Melrose Park village,25411,8525,4.24,0,4.24,5996.3,2011.7
0500000US17031,17031,1590000US1703148554,Merrionette Park village,1900,951,0.38,0,0.38,5065.2,2535.3
0500000US17031,17031,1590000US1703148892,Midlothian village,14819,5501,2.82,0,2.82,5256.4,1951.2
0500000US17031,17031,1590000US1703150647,Morton Grove village,23270,9036,5.09,0,5.09,4573.4,1775.9
0500000US17031,17031,1590000US1703151089,Mount Prospect village,54167,21836,10.37,0.03,10.34,5239.4,2112.1
0500000US17031,17031,1590000US1703153000,Niles village,29803,12572,5.85,0,5.85,5097.3,2150.2
0500000US17031,17031,1590000US1703153377,Norridge village,14572,5960,1.81,0,1.81,8049.5,3292.3
0500000US17031,17031,1590000US1703153481,Northbrook village,33170,13434,13.25,0.07,13.19,2514.9,1018.5
0500000US17031,17031,1590000US1703153663,Northfield village,5420,2381,3.21,0,3.21,1686.2,740.8
0500000US17031,17031,1590000US1703153871,Northlake city,12323,4274,3.17,0,3.17,3890.5,1349.4
0500000US17031,17031,1590000US1703154144,North Riverside village,6672,2981,1.64,0,1.64,4059.4,1813.7
0500000US17031,17031,1590000US1703154534,Oak Brook village (part),7,3,0.05,0,0.05,132.2,56.7
0500000US17031,17031,1590000US1703154638,Oak Forest city,27962,10672,6,0.05,5.95,4698.3,1793.2
0500000US17031,17031,1590000US1703154820,Oak Lawn village,56690,23517,8.59,0,8.59,6596.1,2736.3
0500000US17031,17031,1590000US1703154885,Oak Park village,51878,24519,4.7,0,4.7,11037.1,5216.4
0500000US17031,17031,1590000US1703155938,Olympia Fields village,4988,2104,2.94,0,2.94,1697.4,716
0500000US17031,17031,1590000US1703156627,Orland Hills village,7149,2458,1.15,0.01,1.14,6257.7,2151.6
0500000US17031,17031,1590000US1703156640,Orland Park village (part),56583,22267,21.58,0.29,21.29,2657.3,1045.7
0500000US17031,17031,1590000US1703157225,Palatine village (part),68557,28621,13.76,0.14,13.62,5035.2,2102.1
0500000US17031,17031,1590000US1703157381,Palos Heights city,12515,5057,3.87,0.1,3.78,3313.2,1338.8
0500000US17031,17031,1590000US1703157394,Palos Hills city,17484,7637,4.29,0.04,4.25,4115.5,1797.6
0500000US17031,17031,1590000US1703157407,Palos Park village,4847,2093,3.98,0.04,3.93,1232.5,532.2
0500000US17031,17031,1590000US1703157732,Park Forest village (part),18672,8437,3.88,0,3.88,4806.7,2171.9
0500000US17031,17031,1590000US1703157875,Park Ridge city,37480,15030,7.13,0.04,7.09,5286.5,2120
0500000US17031,17031,1590000US1703159572,Phoenix village,1964,816,0.45,0,0.45,4363.9,1813.1
0500000US17031,17031,1590000US1703161314,Posen village,5987,1883,1.17,0,1.17,5121,1610.6
0500000US17031,17031,1590000US1703162016,Prospect Heights city,16256,6472,4.27,0.03,4.24,3836.4,1527.4
0500000US17031,17031,1590000US1703163706,Richton Park village,13646,5391,3.99,0.01,3.98,3426.7,1353.8
0500000US17031,17031,1590000US1703164278,Riverdale village,13549,5418,3.75,0.17,3.57,3790.7,1515.8
0500000US17031,17031,1590000US1703164304,River Forest village,11172,4176,2.48,0,2.48,4513.5,1687.1
0500000US17031,17031,1590000US1703164343,River Grove village,10227,4427,2.39,0,2.39,4276,1851
0500000US17031,17031,1590000US1703164421,Riverside village,8875,3680,2,0.02,1.98,4485.9,1860.1
0500000US17031,17031,1590000US1703164616,Robbins village,5337,2047,1.45,0,1.45,3683.5,1412.8
0500000US17031,17031,1590000US1703165338,Rolling Meadows city,24099,9425,5.64,0,5.63,4278.9,1673.5
0500000US17031,17031,1590000US1703165806,Roselle village (part),3723,1502,0.74,0,0.74,5010.7,2021.5
0500000US17031,17031,1590000US1703165819,Rosemont village,4202,1770,1.79,0,1.79,2344.5,987.6
0500000US17031,17031,1590000US1703167769,Sauk Village village (part),10506,3685,3.86,0.04,3.82,2749.2,964.3
0500000US17031,17031,1590000US1703168003,Schaumburg village (part),74227,33610,19.21,0.11,19.1,3886.4,1759.8
0500000US17031,17031,1590000US1703168081,Schiller Park village,11793,4698,2.77,0,2.77,4259.2,1696.7
0500000US17031,17031,1590000US1703170122,Skokie village,64784,25066,10.06,0,10.06,6437.9,2490.9
0500000US17031,17031,1590000US1703170564,South Barrington village,4565,1522,7.62,0.28,7.34,621.7,207.3
0500000US17031,17031,1590000US1703170629,South Chicago Heights village,4139,1657,1.6,0.02,1.58,2618.1,1048.1
0500000US17031,17031,1590000US1703170850,South Holland village,22030,7797,7.28,0.02,7.27,3031.8,1073
0500000US17031,17031,1590000US1703172520,Steger village (part),4103,1645,2.33,0,2.33,1759,705.2
0500000US17031,17031,1590000US1703172676,Stickney village,6786,3000,1.96,0.04,1.93,3525,1558.4
0500000US17031,17031,1590000US1703172923,Stone Park village,4946,1285,0.34,0,0.34,14394.4,3739.8
0500000US17031,17031,1590000US1703173157,Streamwood village,39858,13629,7.85,0.03,7.82,5100,1743.9
0500000US17031,17031,1590000US1703173638,Summit village,11054,3683,2.26,0.14,2.12,5217.8,1738.5
0500000US17031,17031,1590000US1703175185,Thornton village,2338,1027,2.37,0.03,2.35,995.4,437.3
0500000US17031,17031,1590000US1703175484,Tinley Park village (part),49236,20180,12.71,0.01,12.69,3878.7,1589.7
0500000US17031,17031,1590000US1703176935,University Park village (part),273,120,0.11,0,0.11,2556.5,1123.7
0500000US17031,17031,1590000US1703180047,Westchester village,16718,7219,3.69,0,3.69,4535.4,1958.4
0500000US17031,17031,1590000US1703180242,Western Springs village,12975,4590,2.79,0,2.79,4647.3,1644
0500000US17031,17031,1590000US1703181087,Wheeling village (part),37642,15395,8.72,0.06,8.66,4347.1,1777.9
0500000US17031,17031,1590000US1703182049,Willow Springs village (part),5524,2404,4.12,0.1,4.01,1377,599.3
0500000US17031,17031,1590000US1703182075,Wilmette village,27087,10290,5.41,0.01,5.4,5013.1,1904.4
0500000US17031,17031,1590000US1703182530,Winnetka village,12187,4425,3.89,0.08,3.81,3198.5,1161.4
0500000US17031,17031,1590000US1703183245,Woodridge village (part),0,0,0,0,0,0,0
0500000US17031,17031,1590000US1703183518,Worth village,10789,4557,2.38,0.01,2.37,4554.6,1923.8
