Id,Id2,Target Geo Id,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US17031,17031,0700000US170315735557381,Palos Heights city (part),5898,2508,1.95,0.06,1.89,3123.8,1328.3
0500000US17031,17031,0700000US170315735557394,Palos Hills city,17484,7637,4.29,0.04,4.25,4115.5,1797.6
0500000US17031,17031,0700000US170315735557407,Palos Park village (part),4647,2010,3.67,0.02,3.65,1272.3,550.3
0500000US17031,17031,0700000US170315735582049,Willow Springs village (part),170,96,0.71,0,0.71,240,135.6
0500000US17031,17031,0700000US170315735583518,Worth village (part),2823,1306,0.71,0,0.71,3957.1,1830.7
0500000US17031,17031,0700000US170315735599999,Remainder of Palos township,5707,2296,19.72,1.49,18.22,313.2,126
0500000US17031,17031,0600000US1703162133,Proviso township,151704,59154,29.71,0,29.71,5105.9,1991
0500000US17031,17031,0700000US170316213304975,Bellwood village,19071,6627,2.4,0,2.4,7953.1,2763.6
0500000US17031,17031,0700000US170316213305404,Berkeley village,5209,1919,1.4,0,1.4,3719.9,1370.4
0500000US17031,17031,0700000US170316213308446,Broadview village,7932,3322,1.78,0,1.78,4462.5,1868.9
0500000US17031,17031,0700000US170316213308576,Brookfield village (part),9181,3772,1.27,0,1.27,7203.9,2959.7
0500000US17031,17031,0700000US170316213323620,Elmhurst city (part),0,0,0.03,0,0.03,0,0
0500000US17031,17031,0700000US170316213326935,Forest Park village,14167,7834,2.4,0,2.4,5898.7,3261.8
0500000US17031,17031,0700000US170316213335086,Hillside village,8157,3138,3.18,0,3.18,2562.8,985.9
0500000US17031,17031,0700000US170316213340793,La Grange Park village,13579,5830,2.23,0,2.23,6084.6,2612.4
0500000US17031,17031,0700000US170316213347774,Maywood village,24090,8393,2.72,0,2.72,8853.9,3084.7
0500000US17031,17031,0700000US170316213348242,Melrose Park village (part),22858,7603,2.95,0,2.95,7742.2,2575.2
0500000US17031,17031,0700000US170316213353871,Northlake city (part),2968,1019,0.82,0,0.82,3633.7,1247.5
0500000US17031,17031,0700000US170316213354144,North Riverside village (part),1699,765,0.39,0,0.39,4349.2,1958.3
0500000US17031,17031,0700000US170316213354534,Oak Brook village (part),7,3,0.05,0,0.05,132.2,56.7
0500000US17031,17031,0700000US170316213372923,Stone Park village,4946,1285,0.34,0,0.34,14394.4,3739.8
0500000US17031,17031,0700000US170316213380047,Westchester village,16718,7219,3.69,0,3.69,4535.4,1958.4
0500000US17031,17031,0700000US170316213380242,Western Springs village (part),542,189,0.09,0,0.09,6096.9,2126
0500000US17031,17031,0700000US170316213399999,Remainder of Proviso township,580,236,3.96,0,3.96,146.3,59.5
0500000US17031,17031,0600000US1703163498,Rich township,76727,31482,36.57,0.16,36.41,2107.4,864.7
0500000US17031,17031,0700000US170316349816691,Country Club Hills city (part),7050,2683,1.61,0.02,1.59,4438.8,1689.3
0500000US17031,17031,0700000US170316349826571,Flossmoor village (part),7259,2823,2.76,0,2.76,2628.7,1022.3
0500000US17031,17031,0700000US170316349827624,Frankfort village (part),0,0,0.23,0,0.23,0,0
0500000US17031,17031,0700000US170316349833695,Hazel Crest village (part),1808,743,0.39,0.01,0.37,4821.8,1981.5
0500000US17031,17031,0700000US170316349835879,Homewood village (part),2578,1119,0.51,0,0.51,5084.4,2206.9
0500000US17031,17031,0700000US170316349847540,Matteson village (part),19009,7086,9.33,0.03,9.29,2045.5,762.5
0500000US17031,17031,0700000US170316349855938,Olympia Fields village (part),4471,1894,2.64,0,2.64,1694.6,717.9
0500000US17031,17031,0700000US170316349857732,Park Forest village (part),15336,6772,3.41,0,3.41,4497.4,1985.9
0500000US17031,17031,0700000US170316349863706,Richton Park village,13646,5391,3.99,0.01,3.98,3426.7,1353.8
0500000US17031,17031,0700000US170316349875484,Tinley Park village (part),2760,1587,1.87,0,1.87,1474.2,847.7
