Zip Code,Location,Population,People / Sq. Mile
60188,"41.915194, -88.126001","43,730","3,999.59"
60558,"41.804795, -87.901530","12,539","3,919.49"
60435,"41.546837, -88.127053","52,542","3,879.61"
60126,"41.893430, -87.939248","45,355","3,788.89"
60187,"41.852057, -88.110194","61,481","3,782.36"
60455,"41.746341, -87.810462","16,138","3,764.42"
60472,"41.643958, -87.709960","6,672","3,715.79"
60501,"41.784206, -87.816734","11,175","3,666.14"
60516,"41.758991, -88.016089","30,593","3,644.71"
62704,"39.776015, -89.685968","41,264","3,643.85"
60429,"41.573819, -87.680201","16,070","3,638.26"
60131,"41.937911, -87.883041","19,342","3,634.21"
60090,"42.129419, -87.921102","36,736","3,632.98"
60172,"41.978744, -88.089587","25,349","3,623.91"
60426,"41.606262, -87.667160","47,649","3,615.98"
60471,"41.481244, -87.723952","12,855","3,611.13"
60154,"41.847756, -87.892103","16,714","3,609.28"
60915,"41.148230, -87.856517","10,439","3,540.49"
60561,"41.741696, -87.981757","23,570","3,522.15"
60457,"41.723789, -87.829619","14,110","3,518.99"
60148,"41.873793, -88.017158","50,460","3,496.81"
60452,"41.604776, -87.758108","27,899","3,459.19"
60438,"41.566191, -87.552054","28,950","3,432.66"
60101,"41.931060, -88.013050","38,141","3,412.10"
60162,"41.871475, -87.900758","8,513","3,382.42"
60108,"41.947975, -88.085302","21,960","3,337.75"
60540,"41.764651, -88.146658","42,065","3,317.24"
60137,"41.866724, -88.061412","38,026","3,295.45"
61701,"40.476923, -88.993260","37,240","3,291.71"
60008,"42.065664, -88.020004","23,318","3,241.75"
60532,"41.789443, -88.083984","27,341","3,211.95"
60440,"41.701454, -88.074897","46,546","3,210.90"
60430,"41.557705, -87.661331","21,152","3,165.94"
60067,"42.109381, -88.055894","50,825","3,162.55"
62273,"38.779550, -89.597009",46,"3,130.79"
60565,"41.730036, -88.119512","40,640","3,115.33"
60110,"42.127485, -88.281700","32,145","3,104.57"
62289,"38.596369, -89.751114",312,"3,059.73"
61263,"41.260125, -90.605180",307,"3,043.46"
60803,"41.673552, -87.735958","22,757","3,023.49"
60445,"41.632885, -87.740413","25,979","3,010.84"
61524,"40.490634, -90.032338",140,"2,977.78"
61236,"41.518293, -90.356769",58,"2,973.46"
60195,"42.073186, -88.107210","29,924","2,971.88"
60029,"42.056978, -87.791914",354,"2,942.73"
60538,"41.721619, -88.329462","13,702","2,927.02"
60025,"42.079550, -87.822184","49,574","2,884.65"
60113,"41.931283, -88.964509",304,"2,860.22"
60103,"41.975865, -88.181123","75,585","2,836.50"
60473,"41.597379, -87.599150","22,218","2,787.62"
62915,"37.778432, -89.119355",189,"2,719.78"
62093,"39.069505, -89.854783",343,"2,687.36"
60475,"41.472441, -87.629436","9,180","2,648.07"
61833,"40.096485, -87.645926","2,132","2,621.41"
60465,"41.699227, -87.838452","17,198","2,582.69"
62689,"39.539213, -89.760780",538,"2,563.66"
60910,"41.080209, -87.806225",537,"2,527.97"
60093,"42.103828, -87.757826","19,528","2,514.95"
61108,"42.255014, -89.001286","27,370","2,498.09"
60191,"41.964839, -87.981107","14,360","2,486.91"
62570,"39.588322, -89.449121",516,"2,484.31"
60432,"41.541455, -88.043075","21,431","2,482.11"
61201,"41.477559, -90.575628","39,151","2,447.91"
60061,"42.230541, -87.959159","20,328","2,430.31"
60477,"41.569890, -87.804998","56,840","2,409.63"
60463,"41.659339, -87.788859","13,286","2,408.58"
62701,"39.800528, -89.650214","1,122","2,403.86"
60035,"42.182110, -87.812051","29,772","2,399.92"
60021,"42.193078, -88.217939","5,877","2,387.06"
61282,"41.497310, -90.411325","8,962","2,379.89"
60515,"41.808839, -88.025326","27,514","2,377.92"
60462,"41.626234, -87.836393","38,431","2,365.39"
60176,"41.967265, -87.888140","11,636","2,336.65"
62523,"39.843835, -88.952387",879,"2,335.98"
62085,"39.078551, -89.806963",24,"2,333.58"
61013,"42.373284, -89.636000",460,"2,333.19"
61265,"41.483360, -90.484208","46,646","2,327.17"
62702,"39.824720, -89.646827","39,437","2,305.86"
60106,"41.962733, -87.943341","22,404","2,300.23"
61232,"41.441023, -90.721225",358,"2,276.97"
60525,"41.779354, -87.871381","32,475","2,275.56"
60422,"41.536760, -87.684404","9,224","2,237.62"
60062,"42.126248, -87.842761","40,392","2,222.89"
62084,"38.852167, -90.087809","1,433","2,213.84"
60007,"42.011258, -87.995151","35,162","2,209.15"
60073,"42.354337, -88.106559","39,115","2,198.90"
